Year,Mean Glacier Mass,Source,Mean Global Temp,Total Co2 Emission,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,Per Capita,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1975,-10.534,GCAG,0.0034,4596,604,2132,1673,95,92,1.13,-0.01,-0.05,0.02,0.12,-0.23,0.15,0.1,0.39,-0.05,-0.31,-0.16,0.13,0.14,0.25
1976,-10.633,GCAG,-0.0792,4864,630,2314,1710,103,108,1.18,-0.1,-0.21,0.01,-0.26,-0.11,0.08,-0.07,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.28
1977,-10.682,GCAG,0.1978,5026,650,2398,1765,108,104,1.19,0.18,0.12,0.24,0.14,0.16,0.25,0.16,0.24,0.07,0.1,0.22,0.22,0.31,0.24
1978,-10.754,GCAG,0.1123,5087,680,2392,1793,116,106,1.19,0.07,0.02,0.12,-0.03,0.08,0.16,-0.16,0.04,-0.04,0.1,0.06,0.21,0.13,0.03
1979,-11.127,GCAG,0.2273,5369,721,2544,1887,119,98,1.23,0.16,0.08,0.25,-0.03,0.26,0.23,-0.61,0.07,0.09,0.26,0.27,0.3,0.33,-0.21
1980,-11.318,GCAG,0.2637,5315,740,2422,1947,120,86,1.2,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.02,0.33,0.29,0.35,0.37,0.57
1981,-11.394,GCAG,0.2999,5152,756,2289,1921,121,64,1.14,0.32,0.37,0.27,0.48,0.18,0.35,1.09,0.78,0.08,0.22,0.15,0.29,0.39,0.56
1982,-11.849,GCAG,0.1815,5113,740,2196,1992,121,64,1.11,0.14,0.05,0.23,-0.08,0.27,0.18,-0.4,0.09,-0.08,0.25,0.29,0.19,0.32,-0.12
1983,-11.845999999999998,GCAG,0.3411,5094,741,2176,1995,125,58,1.09,0.31,0.25,0.38,0.22,0.44,0.23,0.18,0.69,-0.07,0.29,0.58,0.21,0.41,-0.03
1984,-11.902,GCAG,0.149,5280,808,2199,2094,128,51,1.11,0.16,0.04,0.27,0.02,0.19,0.26,0.36,0.08,-0.13,0.07,0.3,0.16,0.32,0.47
1985,-12.238,GCAG,0.1342,5439,837,2186,2237,131,49,1.12,0.12,0.0,0.23,-0.03,0.09,0.3,0.38,-0.27,-0.01,0.04,0.14,0.3,0.44,0.0
1986,-12.782,GCAG,0.2296,5607,831,2293,2300,137,46,1.14,0.18,0.13,0.23,0.11,0.23,0.2,0.0,0.28,0.03,0.18,0.28,0.26,0.25,-0.09
1987,-12.795,GCAG,0.3696,5752,894,2306,2364,143,44,1.15,0.32,0.25,0.41,0.04,0.59,0.25,-0.36,0.13,0.12,0.55,0.62,0.32,0.25,0.01
1988,-13.26,GCAG,0.3757,5965,937,2412,2414,152,50,1.17,0.39,0.37,0.4,0.4,0.38,0.38,0.59,0.57,0.24,0.32,0.43,0.38,0.2,0.78
1989,-13.343,GCAG,0.297,6097,985,2459,2457,156,41,1.17,0.27,0.27,0.28,0.41,0.13,0.33,0.33,0.69,0.26,0.07,0.2,0.36,0.3,0.3
1990,-13.687,GCAG,0.4328,6127,1019,2492,2419,157,40,1.16,0.45,0.53,0.37,0.63,0.37,0.38,0.58,0.88,0.49,0.38,0.37,0.38,0.37,0.39
1991,-14.255,GCAG,0.4055,6217,1063,2605,2345,161,44,1.16,0.41,0.41,0.4,0.47,0.37,0.39,0.75,0.66,0.26,0.33,0.41,0.31,0.29,0.89
1992,-14.501,GCAG,0.2571,6164,1095,2510,2357,167,35,1.13,0.22,0.14,0.31,0.1,0.29,0.26,-0.16,0.44,-0.03,0.2,0.37,0.2,0.33,0.34
1993,-14.695,GCAG,0.2853,6162,1129,2523,2298,176,36,1.11,0.23,0.19,0.28,0.13,0.32,0.22,0.54,0.29,-0.11,0.29,0.36,0.27,0.39,-0.32
1994,-15.276,GCAG,0.3409,6266,1139,2546,2358,186,38,1.11,0.31,0.37,0.26,0.43,0.31,0.19,0.34,0.5,0.42,0.28,0.35,0.26,0.23,-0.13
1995,-15.486,GCAG,0.4577,6398,1157,2565,2442,197,36,1.12,0.45,0.58,0.32,0.7,0.43,0.22,1.31,0.98,0.32,0.41,0.45,0.29,0.15,0.15
1996,-15.89,GCAG,0.3228,6542,1209,2624,2469,203,37,1.13,0.33,0.27,0.39,0.23,0.32,0.44,0.77,0.17,0.11,0.31,0.33,0.33,0.28,1.2
