Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.670510214,16.82604194,23.31669584,24.73193628,61.33605398,60.57239489,49.86641582,51.16461898,48.92150026,48.30682828,47.25198457,47.50422723,47.87830034,47.23620178,60.91831451,60.31168468,59.70037624,61.44291183,61.66812422,63.25745995,62.66913015,64.8721461,60.99895971,60.26819085,57.37332296,56.99422376,30.59935421,19.42688606,19.55828879,,,,
Afghanistan,AFG,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0.107108634,0.124625198,0.171443793,0.172466802,0.200403754,0.235546308,0.249764839,0.286998912,0.26777325,0.201185713,0.348026685,0.384205397,0.302315335,0.314806018,0.359309862,0.389796176,0.357111363,0.422144573,0.376498213,0.388526538,0.306471903,0.350266642,0.379311475,0.467963499,0.539444991,0.683620773,0.622725359,0.626115339,0.574007608,0.54391208,0.489868417,0.426426866,0.223712979,0.197876994,0.176294173,0.159627586,0.145196769,0.131726383,0.122705158,0.094703581,0.086592514,0.088014269,0.110179823,0.117398455,0.089325682,0.120334801,0.145180306,0.195099548,0.35283933,0.554415212,0.674389837,0.945172598,0.802671588,0.72172329,0.683596296,,,,
Angola,AGO,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0.234500781,0.19117162,0.489608086,0.471482101,0.496651975,0.478816107,0.625445202,0.400236497,0.673763003,1.116823303,1.414473486,1.312902875,1.677316229,1.747069505,1.676224139,1.461788155,1.049659345,1.091212038,1.61566732,1.588518484,1.49061954,1.421244464,1.207801456,1.282205986,1.211588038,1.097448307,1.050276472,1.265314261,1.077926271,1.016966191,1.004054918,0.966350768,0.954704493,1.027258367,0.670044344,1.830308249,1.688915026,1.154328477,1.106546883,1.342053289,1.353398829,1.335618731,1.681299709,1.163314873,2.32994911,2.292410128,2.569811691,2.797986046,2.755815102,2.870755987,2.893236134,2.913211259,3.093531552,2.915758534,3.000713432,,,,
Albania,ALB,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,2.926034716,3.195781504,3.3487348,2.748095684,2.585446418,2.711858239,3.100128987,3.171503024,3.533840179,3.625505982,4.077302106,4.626739357,5.850963716,5.357900969,4.30001556,4.44333404,4.682754796,5.292735794,5.885174513,6.740019808,4.500135605,6.262846313,6.104318105,6.240092835,6.265793892,6.181431121,6.198502839,5.614094919,5.422322164,6.472658313,3.902573615,3.05165721,1.801685839,1.683233237,1.395822576,1.522179379,1.480523984,1.140383859,1.302956831,2.232940493,2.274824839,2.449544595,2.859396999,3.285342316,3.200494733,3.284879561,3.029247366,3.075197338,3.45188637,3.478139998,3.671101358,4.194685407,3.936996106,4.067932741,4.601775144,,,,
Andorra,AND,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.36589691,16.70338752,16.07454277,15.66524383,15.10279168,15.49314345,16.43039877,16.8365412,17.81577648,18.54756838,18.64949836,18.10918605,17.65259335,17.01339699,17.11308126,16.97644636,15.68849332,15.16136527,14.94839529,14.23623224,14.23859233,13.64513994,13.76019542,13.72505889,13.56489817,,,,
Arab World,ARB,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,1.501711334,1.598756695,1.775752638,2.042413231,2.3326822,2.722186781,2.972496819,3.110333852,3.609865019,4.182950993,4.210018208,4.659818648,4.932266421,5.603564945,5.316024844,5.108797036,6.010098712,6.159912483,6.42403055,6.659568202,7.192770867,6.814499896,6.332917272,6.550155894,6.933381185,7.120582212,7.638371098,7.436759167,7.662890229,7.573660987,7.016183351,7.5270811,7.942988161,8.533594482,8.545019084,7.962812846,7.740241119,7.315191175,7.79062136,7.740328043,8.613621118,8.390595695,8.382820358,8.828993981,9.461773058,9.73413327,9.966788795,9.574761743,10.25336808,10.6093375,10.78328707,10.6033992,11.25065022,10.87191819,11.36508724,,,,
United Arab Emirates,ARE,CO2 emissions (equivalent barrels of crude oil per capita),EN.ATM.CO2E.PC,0.276826169,0.253816827,0.38030945,0.408914264,0.30889484,0.341441787,0.373151903,12.55795598,15.82986341,235.0038667,151.2022191,177.5526762,164.799933,180.5100728,155.8535746,131.7833741,144.5509923,122.6632326,124.7379453,91.37020308,84.18253867,78.16269505,73.61578207,66.90656134,83.38291899,84.98793226,75.94682571,72.32563053,69.13247098,73.42966039,66.15028869,68.44238414,65.85904328,70.60875086,74.12533155,68.02297223,37.60623711,36.25545304,67.36928106,61.45140474,83.52503319,71.41019122,56.62510798,66.93794436,64.72797453,58.87089791,54.3531638,51.13007789,51.61741834,49.33502218,43.74074356,43.00376003,44.87190787,43.16101436,53.34792166,,,,
