Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037970868,0.095779693,0.132726757,0.140782799,0.34914619,0.344799177,0.283857014,0.291246838,0.278478225,0.274979298,0.26897476,0.270410613,0.272539968,0.268884919,0.346768272,0.343315123,0.339835343,0.349754462,0.35103645,0.360083503,0.356734524,0.369274859,0.347227332,0.343067541,0.326588945,0.32443098,0.174182186,0.110584604,0.111332594,,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.0006097,0.00070941,0.000975918,0.000981741,0.001140768,0.001340812,0.001421748,0.001633698,0.001524259,0.001145219,0.001981089,0.002187031,0.001720884,0.001791986,0.002045317,0.002218856,0.002032802,0.002402994,0.002143159,0.002211628,0.001744545,0.00199384,0.002159173,0.002663811,0.003070709,0.003891408,0.00354477,0.003564067,0.003267451,0.003096137,0.002788502,0.00242737,0.001273452,0.001126385,0.001003528,0.000908656,0.000826511,0.000749832,0.000698481,0.000539086,0.000492915,0.000501008,0.000627182,0.000668273,0.000508473,0.000684988,0.000826417,0.001110575,0.002008484,0.003155925,0.003838862,0.005380252,0.004569086,0.0041083,0.003891268,,,,
Angola,AGO,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.00133486,0.001088215,0.00278702,0.00268384,0.002827116,0.002725588,0.003560252,0.002278286,0.003835294,0.006357347,0.008051676,0.007473501,0.009547868,0.009944928,0.009541652,0.008321008,0.005975027,0.006211559,0.009196941,0.009042401,0.008485126,0.008090219,0.006875227,0.007298763,0.006896781,0.006247058,0.00597854,0.00720261,0.006135932,0.005788926,0.00571543,0.005500805,0.005434511,0.005847513,0.003814126,0.010418752,0.009613893,0.00657084,0.00629885,0.007639435,0.007704018,0.007602807,0.009570544,0.006621994,0.013262882,0.013049197,0.014628264,0.015927111,0.01568706,0.016341343,0.016469308,0.016583014,0.017609459,0.016597513,0.017081106,,,,
Albania,ALB,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.016656009,0.018191502,0.019062165,0.015643118,0.014717262,0.015436842,0.017647014,0.0180533,0.02011585,0.020637643,0.023209424,0.026337012,0.033305724,0.030499039,0.024477187,0.025293006,0.026655872,0.030128096,0.033500464,0.038366541,0.02561634,0.035650303,0.034747906,0.035520783,0.035667082,0.03518686,0.035284038,0.031957384,0.030865747,0.036844626,0.022214809,0.017371096,0.010255824,0.00958155,0.007945508,0.008664775,0.008427658,0.006491462,0.007416884,0.012710675,0.012949096,0.013943661,0.016276684,0.018701313,0.018218331,0.018698679,0.017243531,0.017505095,0.01964934,0.019798785,0.020897188,0.023877611,0.022410754,0.023156091,0.026194907,,,,
Andorra,AND,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098852736,0.095081502,0.091501898,0.089172026,0.085970352,0.088192371,0.093527555,0.095839459,0.101413607,0.105579222,0.106159443,0.103083797,0.100484712,0.096846184,0.097413621,0.096635848,0.08930437,0.086303774,0.085091474,0.081037594,0.081051029,0.077672891,0.078327827,0.078127817,0.077216127,,,,
Arab World,ARB,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.008548264,0.00910068,0.010108203,0.011626128,0.01327844,0.015495636,0.016920488,0.017705104,0.020548609,0.023810814,0.023964891,0.026525311,0.028076179,0.031897444,0.030260666,0.029081053,0.034211576,0.035064368,0.03656782,0.037908583,0.040943758,0.038790508,0.036049172,0.03728577,0.039467221,0.040532835,0.04348027,0.042332624,0.043619841,0.043111917,0.03993856,0.042846768,0.045214256,0.048576193,0.048641226,0.045327105,0.044060149,0.041640617,0.044346931,0.044060644,0.049031733,0.047762194,0.047717934,0.05025771,0.053859709,0.055410078,0.056734434,0.05450288,0.058365744,0.060392046,0.061382227,0.060358243,0.064042621,0.061886746,0.064694036,,,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.001575791,0.001444814,0.002164854,0.002327682,0.001758337,0.001943606,0.002124111,0.071484261,0.090109098,1.33772389,0.860695714,1.010691696,0.938098639,1.027526229,0.88717285,0.750156882,0.822834614,0.698241859,0.710051846,0.520111032,0.479196341,0.444929294,0.419046681,0.380855459,0.474644628,0.483780922,0.432315794,0.411702689,0.393526112,0.417987212,0.376550492,0.389597898,0.374892621,0.401929612,0.421947214,0.387210459,0.214067805,0.206378671,0.383489421,0.349802807,0.475453591,0.40649169,0.322329844,0.381034102,0.368454184,0.335113663,0.309397146,0.291050218,0.29382433,0.280832136,0.248987553,0.244792386,0.255426534,0.245687532,0.303674958,,,,
Argentina,ARG,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0.031550741,0.032546352,0.033603998,0.030853654,0.033802513,0.035166345,0.037157738,0.038007674,0.039472827,0.043528742,0.045863479,0.04853269,0.048411546,0.049697568,0.049687141,0.048585527,0.050294705,0.050045214,0.050210232,0.053346707,0.051600322,0.047667594,0.047548232,0.047598147,0.047420552,0.044072354,0.044938544,0.048793796,0.050777262,0.048215945,0.045514316,0.046862049,0.047912104,0.045955712,0.04710219,0.04863836,0.050704241,0.05123471,0.051322828,0.053357014,0.051032459,0.047489414,0.043813658,0.046943187,0.05419755,0.055177767,0.05911022,0.058435881,0.062459947,0.058848131,0.060989724,0.061482302,0.061016413,0.059551761,0.063297694,,,,
Armenia,ARM,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022404945,0.010060647,0.010910162,0.014031976,0.010710152,0.013665634,0.014319448,0.012917687,0.014944632,0.015371399,0.013280046,0.015039593,0.016080326,0.019327847,0.019609142,0.022859783,0.025310212,0.019985028,0.019401877,0.022630419,0.026138198,0.025113054,0.025135284,,,,
American Samoa,ASM,CO2 emissions (metric tons per capita) in Tanker Truck equivalents,EN.ATM.CO2E.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
